product_code,cost_year,manufacturing_cost
A0118150101,2018,4.6190
A0118150101,2019,4.2033
A0118150101,2020,5.0207
A0118150101,2021,5.5172
A0118150102,2018,5.6036
A0118150102,2019,5.3235
A0118150102,2020,5.7180
A0118150102,2021,6.2835
A0118150103,2018,5.9469
A0118150103,2019,5.5306
A0118150103,2020,6.3264
A0118150103,2021,6.5900
A0118150103,2022,7.1831
A0118150104,2018,5.8958
A0118150104,2019,5.4242
A0118150104,2020,6.4789
A0118150104,2021,6.8199
A0118150104,2022,7.3655
A0219150201,2019,5.7250
A0219150201,2020,6.4858
A0219150201,2021,7.0498
A0219150201,2022,7.5433
A0219150202,2019,6.2366
A0219150202,2020,7.0590
A0219150202,2021,7.2031
A0219150202,2022,7.2751
A0220150203,2020,7.0621
A0220150203,2021,7.3563
A0220150203,2022,7.4299
A0320150301,2020,6.8414
A0320150301,2021,7.3563
A0320150301,2022,7.7241
A0321150302,2021,7.8161
A0321150302,2022,8.4414
A0321150303,2021,8.4291
A0321150303,2022,9.1877
A0418150101,2018,4.7713
A0418150101,2019,4.3896
A0418150101,2020,5.0759
A0418150102,2018,5.0082
A0418150102,2019,4.6576
A0418150102,2020,5.2169
A0418150103,2018,5.2379
A0418150103,2019,4.8189
A0418150103,2020,5.3448
A0418150103,2021,5.7471
A0418150103,2022,6.0345
A0418150104,2018,5.3666
A0418150104,2019,5.3129
A0418150104,2020,5.6490
A0418150104,2021,5.8238
A0418150104,2022,5.9402
A0418150105,2018,5.0900
A0418150105,2019,4.7846
A0418150105,2020,5.3579
A0418150105,2021,5.8238
A0418150105,2022,5.9985
A0418150106,2019,4.9859
A0418150106,2020,5.2996
A0418150106,2021,5.8238
A0418150106,2022,6.3479
A0418150107,2019,4.8662
A0418150107,2020,6.0077
A0418150108,2019,5.3392
A0418150108,2020,5.9923
A0519150201,2019,5.6369
A0519150201,2020,6.3264
A0519150201,2021,6.5900
A0519150202,2019,6.1613
A0519150202,2020,7.3594
A0519150202,2021,7.5096
A0519150203,2019,6.4163
A0519150203,2020,7.1126
A0519150203,2021,7.8161
A0519150204,2019,7.0351
A0519150204,2020,7.7241
A0519150204,2021,8.0460
A0519150204,2022,8.3678
A0519150205,2019,7.7643
A0519150205,2020,8.3379
A0519150205,2021,8.9655
A0519150205,2022,9.3241
A0519150206,2019,7.1745
A0519150206,2020,8.2069
A0519150206,2021,9.1188
A0519150206,2022,9.9395
A0519150207,2019,7.6849
A0519150207,2020,8.5303
A0519150207,2021,9.2720
A0519150207,2022,10.1065
A0519150208,2019,7.7613
A0519150208,2020,8.6008
A0519150208,2021,9.3487
A0519150208,2022,10.2835
A0619150301,2020,8.9318
A0619150301,2021,9.5019
A0619150301,2022,10.3571
A0619150302,2020,9.3640
A0619150302,2021,9.9617
A0619150302,2022,10.2605
